1,2,3,4,5,6,7,8
3.1023850440979004,-6.445991039276123,4.918226718902588,6.004448890686035,-4.805674076080322,5.809394836425781,-0.2250318080186844,5.8927130699157715
3.0924952030181885,-6.454431056976318,4.947102069854736,5.99641227722168,-4.8173041343688965,5.787662982940674,-0.22752463817596436,5.920525550842285
3.0952746868133545,-6.464141368865967,4.95385217666626,5.993473052978516,-4.818496227264404,5.778913974761963,-0.2296728640794754,5.931248664855957
3.0922622680664062,-6.467451572418213,4.965270042419434,5.991710186004639,-4.818970203399658,5.772040367126465,-0.23057197034358978,5.945330619812012
3.094411849975586,-6.470866680145264,4.967554092407227,5.990816116333008,-4.8206048011779785,5.767333984375,-0.23176610469818115,5.9477667808532715
3.093498945236206,-6.474874973297119,4.971861839294434,5.990087985992432,-4.820047378540039,5.764664173126221,-0.2319127768278122,5.952027320861816
3.0929369926452637,-6.479307651519775,4.979339599609375,5.9880876541137695,-4.821710586547852,5.757355690002441,-0.23279480636119843,5.960690498352051
3.0947959423065186,-6.479834079742432,4.9767584800720215,5.988128662109375,-4.821148872375488,5.757779121398926,-0.23325584828853607,5.958293437957764
3.091853380203247,-6.480633735656738,4.980504035949707,5.987793445587158,-4.821924686431885,5.756914138793945,-0.23320092260837555,5.961731433868408
3.0884456634521484,-6.48030424118042,4.985156059265137,5.9869303703308105,-4.823268890380859,5.754471778869629,-0.233476459980011,5.966201305389404
